Date,Open,High,Low,Close,Volume
2012-05-24,17.716,17.734,17.265,17.39,498162387
2012-05-23,17.15,17.622,17.019,17.552,682558260
2012-05-22,17.522,17.654,17.0,17.133,806158948
2012-05-21,16.443,17.274,16.429,17.267,742730104
2012-05-18,16.426,16.717,16.063,16.317,849809392
2012-05-17,16.776,16.843,16.309,16.309,715915581
2012-05-16,17.045,17.131,16.644,16.799,657436659
2012-05-15,17.272,17.326,16.974,17.018,552627226
2012-05-14,17.306,17.458,17.153,17.172,414874866
2012-05-11,17.381,17.672,17.362,17.434,462663794
2012-05-10,17.676,17.716,17.488,17.551,395600352
2012-05-09,17.341,17.657,17.253,17.51,557893163
2012-05-08,17.522,17.582,17.188,17.48,582708244
2012-05-07,17.273,17.62,17.265,17.52,537921069
2012-05-04,17.752,17.791,17.386,17.388,617003813
2012-05-03,18.166,18.194,17.851,17.898,464294732
2012-05-02,17.849,18.071,17.807,18.027,499109193
2012-05-01,17.994,18.358,17.88,17.908,709064537
2012-04-30,18.391,18.409,17.935,17.964,587150844
2012-04-27,18.614,18.648,18.473,18.55,472199742
2012-04-26,18.897,18.909,18.524,18.695,621846271
2012-04-25,18.939,19.011,18.642,18.765,1050739228
2012-04-24,17.308,17.464,17.073,17.235,1243889197
2012-04-23,17.554,17.739,17.122,17.588,1121641808
2012-04-20,18.193,18.292,17.548,17.627,1196487841
2012-04-19,18.464,18.604,17.982,18.072,968349581
2012-04-18,18.879,19.08,18.541,18.715,1107271132
2012-04-17,17.809,18.765,17.594,18.756,1190190170
2012-04-16,18.767,18.774,17.787,17.846,1219280253
2012-04-13,19.199,19.218,18.566,18.618,997695162
2012-04-12,19.227,19.421,19.088,19.158,712678693
2012-04-11,19.571,19.592,19.176,19.264,808219281
2012-04-10,19.687,19.811,19.257,19.333,1031721310
2012-04-09,19.262,19.685,19.236,19.572,632955391
2012-04-05,19.288,19.524,19.177,19.482,589776794
2012-04-04,19.207,19.254,18.981,19.206,664510559
2012-04-03,19.298,19.448,19.15,19.36,967709474
2012-04-02,18.512,19.036,18.469,19.032,693900321
2012-03-30,18.728,18.783,18.395,18.443,848029908
2012-03-29,18.851,18.967,18.68,18.761,704926963
2012-03-28,19.023,19.118,18.775,19.0,760351231
2012-03-27,18.648,18.959,18.644,18.903,704025496
2012-03-26,18.45,18.678,18.312,18.672,691240859
2012-03-23,18.472,18.513,18.285,18.337,499753069
2012-03-22,18.39,18.596,18.32,18.437,724585531
2012-03-21,18.542,18.755,18.5,18.535,747699998
2012-03-20,18.44,18.671,17.904,18.642,948110931
2012-03-19,18.407,18.512,18.122,18.491,1046288919
2012-03-16,17.987,18.126,17.78,18.014,958349997
2012-03-15,18.446,18.458,17.798,18.014,1346319677
2012-03-14,17.78,18.296,17.701,18.137,1647200840
2012-03-13,17.151,17.48,17.095,17.477,802042859
2012-03-12,16.889,16.982,16.827,16.982,472831912
2012-03-09,16.748,16.851,16.708,16.772,485871220
2012-03-08,16.457,16.704,16.37,16.672,598634627
2012-03-07,16.504,16.543,16.099,16.326,760258465
2012-03-06,16.118,16.417,15.88,16.312,939523659
2012-03-05,16.78,16.842,16.182,16.401,938316341
2012-03-02,16.749,16.821,16.69,16.772,500125080
2012-03-01,16.859,16.865,16.573,16.749,792752336
2012-02-29,16.652,16.847,16.479,16.687,1104550120
2012-02-28,16.242,16.471,16.178,16.471,695978082
2012-02-27,16.031,16.259,15.882,16.175,634796881
2012-02-24,15.981,16.086,15.954,16.071,481945474
2012-02-23,15.845,15.93,15.674,15.885,659202407
2012-02-22,15.784,15.858,15.661,15.783,560634688
2012-02-21,15.599,15.838,15.508,15.838,701863332
2012-02-17,15.478,15.621,15.391,15.446,621534794
2012-02-16,15.12,15.532,14.97,15.449,1096114784
2012-02-15,15.82,16.19,15.287,15.31,1746934363
2012-02-14,15.52,15.676,15.443,15.673,535186883
2012-02-13,15.373,15.499,15.292,15.462,600130512
2012-02-10,15.105,15.308,15.03,15.179,732434363
